,name,position,birthday,birthplace,pre_team
26,岡庭愁人,DF,1999/09/16,埼玉県,レジスタＦＣ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８－明治大
27,平川怜,MF,2000/04/20,東京都,上ノ原ＳＣ－ＦＣ東京Ｕ－１５むさし－ＦＣ東京Ｕ－１８－ＦＣ東京－鹿児島ユナイテッドＦＣ－ＦＣ東京－松本山雅ＦＣ
28,東廉太,DF,2004/06/17,山口県,柳東サッカースポーツ少年団－高川学園中
29,梶浦勇輝,MF,2004/01/02,東京都,ＦＣトリプレッタ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８
30,松木玖生,MF,2003/04/30,北海道,室蘭大沢ＦＣ－青森山田中－青森山田高
31,安田虎士朗,MF,2003/08/14,石川県,符津スポーツ少年団サッカー部－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８
32,土肥幹太,DF,2004/11/10,東京都,Ｏｄｄ　Ｐｅｒｓｏｎ　Ｊｕｎｉｏｒ　－ＦＣ東京Ｕ－１５むさし
33,荒井悠汰,MF,2004/06/13,埼玉県,ＦＣ　ＬＡＶＩＤＡ－昌平高在学中
34,バングーナガンデ佳史扶,DF,2001/09/24,東京都,ＦＣアビリスタ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８
35,エンリケトレヴィザン,DF,1997/01/20,ブラジル,ブラジル
36,小林将天,GK,2005/09/20,東京都,荻小ＳＣ－ＦＣ東京Ｕ－１５むさし
37,熊田直紀,FW,2004/08/02,福島県,ＥＳＴＲＥＬＬＡＳ　ＦＣ－ＦＣ東京Ｕ－１５むさし
38,松本愛己,MF,2004/05/03,埼玉県,越谷サンシンサッカースポーツ少年団－ＦＣ東京Ｕ－１５深川
39,生地慶多,MF,2004/08/05,東京都,松庵小ＳＣ－ＦＣ東京Ｕ－１５深川
40,俵積田晃太,MF,2004/05/14,神奈川県,ＡＲＴＥ八王子ＦＣジュニア－ＦＣ東京Ｕ－１５むさし
